product_id,product_name,category,is_subscription,billing_cycle,base_price_usd,first_release_date,vendor,resale_model,brand_safe_name,product_name_orig,base_price_usd_orig,base_key,product_version
PROD0001,Microsoft 365 Business Standard Monthly,Productivity Suite,True,Monthly,49.0,2023-11-24,Microsoft,Direct resale,Office Suite 365 Business Standard Monthly,Microsoft 365 Business Standard Monthly,49.0,microsoft 365 business standard,v3.0
PROD0002,Microsoft 365 Business Standard Annual,Productivity Suite,True,Annual,499.0,2023-02-27,Microsoft,Direct resale,Office Suite 365 Business Standard Annual,Microsoft 365 Business Standard Annual,499.0,microsoft 365 business standard,v3.0
PROD0003,Adobe Creative Cloud All Apps Monthly,Productivity Suite,True,Monthly,29.0,2023-01-13,Adobe,Direct resale,Creative Suite Creative Cloud All Apps Monthly,Adobe Creative Cloud All Apps Monthly,29.0,adobe creative cloud all apps,v3.0
PROD0004,Adobe Creative Cloud All Apps Annual,Productivity Suite,True,Annual,299.0,2023-05-21,Adobe,Direct resale,Creative Suite Creative Cloud All Apps Annual,Adobe Creative Cloud All Apps Annual,299.0,adobe creative cloud all apps,v3.0
PROD0005,AI Analytics Add‑on Monthly,Add-on,True,Monthly,15.0,2023-05-06,AI Tools,Marketplace,AI Analytics Add‑on Monthly,AI Analytics Add‑on Monthly,15.0,ai analytics add‑on,v3.0
PROD0006,AI Analytics Add‑on Annual,Add-on,True,Annual,149.0,2023-04-25,AI Tools,Marketplace,AI Analytics Add‑on Annual,AI Analytics Add‑on Annual,149.0,ai analytics add‑on,v3.0
PROD0007,Team Seats Add‑on Monthly,Add-on,True,Monthly,9.0,2023-03-13,Other,Affiliate,Team Seats Add‑on Monthly,Team Seats Add‑on Monthly,9.0,team seats add‑on,v3.0
PROD0008,Team Seats Add‑on Annual,Add-on,True,Annual,89.0,2023-02-22,Other,Affiliate,Team Seats Add‑on Annual,Team Seats Add‑on Annual,89.0,team seats add‑on,v3.0
PROD0009,Perpetual License (Legacy) One-time,Perpetual,False,One-time,199.0,2023-12-13,Other,Affiliate,Perpetual License (Legacy) One-time,Perpetual License (Legacy) One-time,199.0,perpetual license (legacy) one-time,v3.0
PROD0010,Priority Support Monthly,Support,True,Monthly,25.0,2023-10-07,Other,Affiliate,Priority Support Monthly,Priority Support Monthly,25.0,priority support,v3.0
PROD0011,Priority Support Annual,Support,True,Annual,249.0,2023-02-14,Other,Affiliate,Priority Support Annual,Priority Support Annual,249.0,priority support,v3.0
PROD0012,Onboarding Training Pack One-time,Services,False,One-time,399.0,2023-10-30,AI Tools,Marketplace,Onboarding Training Pack One-time,Onboarding Training Pack One-time,399.0,onboarding training pack one-time,v3.0
PROD0013,Zoom Pro Monthly,Collaboration,True,Monthly,14.99,2024-02-01,Zoom,Direct resale,Video Meeting Pro Pro Monthly,Zoom Pro Monthly,14.99,zoom pro,v4.0
PROD0014,Zoom Pro Annual,Collaboration,True,Annual,149.9,2024-02-01,Zoom,Direct resale,Video Meeting Pro Pro Annual,Zoom Pro Annual,149.9,zoom pro,v4.0
PROD0015,Slack Pro Monthly,Collaboration,True,Monthly,8.75,2024-02-01,Slack,Direct resale,Team Chat Pro Pro Monthly,Slack Pro Monthly,8.75,slack pro,v4.0
PROD0016,Slack Pro Annual,Collaboration,True,Annual,105.0,2024-02-01,Slack,Direct resale,Team Chat Pro Pro Annual,Slack Pro Annual,105.0,slack pro,v4.0
PROD0017,GitHub Copilot Business Monthly,Developer Tools,True,Monthly,19.0,2024-02-01,GitHub,Affiliate,DevTools AI Helper Business Monthly,GitHub Copilot Business Monthly,19.0,github copilot business,v4.0
PROD0018,GitHub Copilot Business Annual,Developer Tools,True,Annual,228.0,2024-02-01,GitHub,Affiliate,DevTools AI Helper Business Annual,GitHub Copilot Business Annual,228.0,github copilot business,v4.0
PROD0019,Figma Professional Monthly,Design,True,Monthly,15.0,2024-02-01,Figma,Marketplace,Design Cloud Professional Monthly,Figma Professional Monthly,15.0,figma professional,v4.0
PROD0020,Figma Professional Annual,Design,True,Annual,144.0,2024-02-01,Figma,Marketplace,Design Cloud Professional Annual,Figma Professional Annual,144.0,figma professional,v4.0
PROD0021,Notion Plus Monthly,Productivity,True,Monthly,10.0,2024-02-01,Notion,Marketplace,Workspace Suite Plus Monthly,Notion Plus Monthly,10.0,notion plus,v4.0
PROD0022,Notion Plus Annual,Productivity,True,Annual,96.0,2024-02-01,Notion,Marketplace,Workspace Suite Plus Annual,Notion Plus Annual,96.0,notion plus,v4.0
